what,kind,bundleId,bundleVersion,description,time
stopped,bundle,net.sf.eclipsefp.common.ui,0.10.0,net.sf.eclipsefp.common.ui,1743370393197
stopped,bundle,org.eclipse.dltk.console.ui,0.95.0.v20080526-1423,org.eclipse.dltk.console.ui,1743370393197
stopped,bundle,net.sf.pfcdt,1.0.7.200902041148,net.sf.pfcdt,1743370393198
stopped,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1743370393210
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk,1743370393211
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.1.R34x_v20080909,org.eclipse.equinox.p2.ui,1743370393211
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1743370393211
stopped,bundle,org.eclipse.cdt,5.0.2.200901300802,org.eclipse.cdt,1743370393211
stopped,bundle,org.eclipse.cdt.doc.user,5.0.2.200901300802,org.eclipse.cdt.doc.user,1743370393211
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.101.v20080702_34x,org.eclipse.ui.cheatsheets,1743370393211
stopped,bundle,org.eclipse.help.ui,3.3.101.M20080715_34x,org.eclipse.help.ui,1743370393211
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1743370393211
stopped,bundle,org.eclipse.mylyn.monitor.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.monitor.ui,1743370393214
stopped,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1743370393214
stopped,bundle,org.eclipse.ecf.presence.collab.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.collab.ui,1743370393214
stopped,bundle,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console,1743370393214
stopped,bundle,net.sf.eclipsefp.haskell.cabal.ui,1.0.0,net.sf.eclipsefp.haskell.cabal.ui,1743370393214
stopped,bundle,es.gavab.IDEConfigurator,1.0.8.200902041501,es.gavab.IDEConfigurator,1743370393214
stopped,bundle,org.eclipse.ecf.docshare,2.0.0.v20081224-1728,org.eclipse.ecf.docshare,1743370393214
stopped,bundle,org.eclipse.ecf.example.collab,1.3.0.v20081224-1728,org.eclipse.ecf.example.collab,1743370393214
stopped,bundle,org.eclipse.ecf.example.collab.editor,1.0.200.v20081224-1728,org.eclipse.ecf.example.collab.editor,1743370393215
stopped,bundle,org.eclipse.ecf.provider.irc.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.irc.ui,1743370393215
stopped,bundle,org.eclipse.ecf.provider.msn.ui,1.3.0.v20081224-1728,org.eclipse.ecf.provider.msn.ui,1743370393215
stopped,bundle,org.eclipse.ecf.provider.xmpp.ui,2.1.0.v20081224-1728,org.eclipse.ecf.provider.xmpp.ui,1743370393216
stopped,bundle,org.eclipse.ecf.presence.ui,1.2.0.v20081224-1728,org.eclipse.ecf.presence.ui,1743370393216
